image_id,poi_id,label_class,file_path,dataset_split,width_px,height_px,capture_conditions,occlusion_pct,licence,updated_at
lmk_bcfe4a84,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/00.jpg,train,1024,768,daylight,5,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_cb419d12,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/01.jpg,train,1024,768,daylight,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_4195d828,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/02.jpg,train,1024,768,daylight,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_7303a81e,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/03.jpg,train,1024,768,daylight,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_077bb4cf,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/04.jpg,train,1024,768,crowded,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_35522dd2,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/05.jpg,train,1024,768,rain,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_e500b076,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/06.jpg,train,1024,768,crowded,5,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_9884fcf9,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/07.jpg,eval,1024,768,daylight,5,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_21015320,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/08.jpg,eval,1024,768,rain,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_1a57a332,poi_85d28439,great_mosque_of_male,media/landmarks/poi_85d28439/09.jpg,eval,1024,768,daylight,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_4bc80f1a,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/00.jpg,train,1024,768,daylight,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_d33fa87e,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/01.jpg,train,1024,768,night,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_906e2b9a,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/02.jpg,train,1024,768,rain,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_441dec1e,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/03.jpg,train,1024,768,daylight,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_50d2dd80,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/04.jpg,train,1024,768,night,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_0357d088,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/05.jpg,train,1024,768,crowded,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_83ecf4c2,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/06.jpg,train,1024,768,crowded,5,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_a6a1fc6a,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/07.jpg,eval,1024,768,dusk,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_5ac29901,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/08.jpg,eval,1024,768,crowded,5,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_40344673,poi_8bbc9fa1,blue_pottery_workshop,media/landmarks/poi_8bbc9fa1/09.jpg,eval,1024,768,daylight,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_00fcc9ae,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/00.jpg,train,1024,768,dusk,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_e855e8cd,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/01.jpg,train,1024,768,rain,5,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_e3d3b19d,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/02.jpg,train,1024,768,daylight,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_5d3fe170,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/03.jpg,train,1024,768,crowded,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_1365e050,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/04.jpg,train,1024,768,daylight,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_086ea5a9,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/05.jpg,train,1024,768,dusk,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_da0adfa1,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/06.jpg,train,1024,768,night,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_8f7b6c38,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/07.jpg,eval,1024,768,daylight,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_d02c3465,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/08.jpg,eval,1024,768,dusk,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_158f5572,poi_d0aa4cac,watchtower_terrace,media/landmarks/poi_d0aa4cac/09.jpg,eval,1024,768,daylight,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_8f1edec3,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/00.jpg,train,1024,768,daylight,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_ec091ec8,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/01.jpg,train,1024,768,crowded,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_46e01ac6,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/02.jpg,train,1024,768,daylight,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_7ef1ef8d,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/03.jpg,train,1024,768,rain,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_84ece755,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/04.jpg,train,1024,768,daylight,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_cd79d65f,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/05.jpg,train,1024,768,rain,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_3c6fccd3,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/06.jpg,train,1024,768,night,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_a1b5ed1f,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/07.jpg,eval,1024,768,daylight,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_8b137f3a,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/08.jpg,eval,1024,768,night,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_dc819ab0,poi_cbc7b76a,hot_springs,media/landmarks/poi_cbc7b76a/09.jpg,eval,1024,768,daylight,15,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_922e98d7,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/00.jpg,train,1024,768,daylight,45,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_0ee2e3a9,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/01.jpg,train,1024,768,night,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_98a3382c,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/02.jpg,train,1024,768,night,30,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_142e518b,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/03.jpg,train,1024,768,rain,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_b7743d50,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/04.jpg,train,1024,768,night,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_1be84008,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/05.jpg,train,1024,768,crowded,0,synthetic_cc0,2026-08-18T10:00:00+05:30
lmk_86dc0ae7,poi_5cc02bcd,rock_climbing_wall,media/landmarks/poi_5cc02bcd/06.jpg,train,1024,768,dusk,0,synthetic_cc0,2026-08-18T10:00:00+05:30
